P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
60,log1p,Transformer,0.734540,0.004794,0.612620,0.009922,0.685965,0.011843,5
60,raw,DecisionTree,0.683000,0.006005,0.601440,0.005857,0.598466,0.006067,5
60,raw,MLP,0.780340,0.005537,0.648340,0.004238,0.657336,0.004503,5
60,raw,RandomForest,0.743980,0.006082,0.645420,0.002194,0.561075,0.003679,5
60,raw,Transformer,0.738360,0.004736,0.611480,0.008647,0.667991,0.017033,5
60,zscore,DecisionTree,0.685660,0.006559,0.603560,0.004590,0.600029,0.008186,5
60,zscore,MLP,0.777680,0.007158,0.651300,0.001027,0.667497,0.005114,5
60,zscore,RandomForest,0.744260,0.005167,0.644760,0.003138,0.563282,0.003810,5
60,zscore,Transformer,0.741400,0.004829,0.617920,0.009952,0.665779,0.014129,5
70,log1p,DecisionTree,0.697260,0.004168,0.612180,0.003056,0.604775,0.004555,5
70,log1p,MLP,0.797180,0.006196,0.668420,0.003056,0.661165,0.003208,5
70,log1p,RandomForest,0.762160,0.003472,0.658720,0.004143,0.566641,0.007578,5
70,log1p,Transformer,0.753180,0.005950,0.622080,0.007781,0.688098,0.024722,5
70,raw,DecisionTree,0.691920,0.007025,0.612300,0.001989,0.602588,0.010341,5
70,raw,MLP,0.801260,0.002952,0.669280,0.002058,0.657738,0.005640,5
70,raw,RandomForest,0.759460,0.005482,0.657340,0.004915,0.563860,0.008956,5
70,raw,Transformer,0.754980,0.006763,0.624060,0.007888,0.681103,0.015130,5
70,zscore,DecisionTree,0.695740,0.007945,0.614780,0.005316,0.599490,0.007687,5
70,zscore,MLP,0.799460,0.001426,0.667080,0.003946,0.667102,0.005867,5
70,zscore,RandomForest,0.760100,0.003792,0.658320,0.004123,0.565405,0.007462,5
70,zscore,Transformer,0.758420,0.002740,0.629540,0.008798,0.690874,0.007458,5
80,log1p,DecisionTree,0.700340,0.003948,0.621520,0.007171,0.603243,0.005026,5
80,log1p,MLP,0.812820,0.005142,0.685180,0.006186,0.666251,0.003947,5
80,log1p,RandomForest,0.773580,0.004363,0.667020,0.003649,0.574449,0.009027,5
80,log1p,Transformer,0.770240,0.007184,0.636920,0.004998,0.692990,0.010323,5
