seed,P,norm,model,id_acc,ood_acc,ood_auroc
42,90,raw,MLP,0.828600,0.696200,0.670676
42,90,raw,Transformer,0.787600,0.645900,0.719352
42,90,log1p,DecisionTree,0.713400,0.621900,0.592739
42,90,log1p,RandomForest,0.788100,0.674000,0.589135
42,90,log1p,MLP,0.829200,0.694500,0.667833
42,90,log1p,Transformer,0.785800,0.648200,0.735177
42,90,zscore,DecisionTree,0.710000,0.621300,0.583340
42,90,zscore,RandomForest,0.787800,0.671700,0.583652
42,90,zscore,MLP,0.834300,0.698800,0.682134
42,90,zscore,Transformer,0.785600,0.644700,0.737641
42,100,raw,DecisionTree,0.715500,0.620500,0.585257
42,100,raw,RandomForest,0.796300,0.676600,0.579816
42,100,raw,MLP,0.839200,0.713100,0.674269
42,100,raw,Transformer,0.813100,0.663400,0.732009
42,100,log1p,DecisionTree,0.707000,0.618200,0.593079
42,100,log1p,RandomForest,0.797600,0.674700,0.585130
42,100,log1p,MLP,0.835800,0.702600,0.673574
42,100,log1p,Transformer,0.802000,0.658000,0.692942
42,100,zscore,DecisionTree,0.712600,0.619200,0.587654
42,100,zscore,RandomForest,0.797500,0.676200,0.583065
42,100,zscore,MLP,0.835000,0.708500,0.684341
42,100,zscore,Transformer,0.808400,0.662000,0.749898
42,110,raw,DecisionTree,0.722500,0.610400,0.587534
42,110,raw,RandomForest,0.803000,0.677300,0.576184
42,110,raw,MLP,0.851400,0.722400,0.671475
42,110,raw,Transformer,0.816000,0.670000,0.742584
42,110,log1p,DecisionTree,0.712300,0.615900,0.586665
42,110,log1p,RandomForest,0.804600,0.677800,0.587071
42,110,log1p,MLP,0.852600,0.724800,0.685018
42,110,log1p,Transformer,0.817400,0.671300,0.723513
42,110,zscore,DecisionTree,0.710000,0.625000,0.588876
42,110,zscore,RandomForest,0.802100,0.681300,0.582432
42,110,zscore,MLP,0.844300,0.708700,0.686853
42,110,zscore,Transformer,0.815400,0.665800,0.747261
42,120,raw,DecisionTree,0.716400,0.618600,0.584237
42,120,raw,RandomForest,0.803900,0.675700,0.580047
42,120,raw,MLP,0.856800,0.727400,0.690442
42,120,raw,Transformer,0.823400,0.669000,0.731745
42,120,log1p,DecisionTree,0.711000,0.618800,0.597671
42,120,log1p,RandomForest,0.808500,0.677700,0.589097
42,120,log1p,MLP,0.855800,0.727300,0.691233
42,120,log1p,Transformer,0.827600,0.684500,0.714459
42,120,zscore,DecisionTree,0.722400,0.622000,0.590400
42,120,zscore,RandomForest,0.807500,0.678200,0.581900
42,120,zscore,MLP,0.847900,0.726000,0.687218
42,120,zscore,Transformer,0.826700,0.676500,0.732080
42,130,raw,DecisionTree,0.737100,0.636200,0.596874
42,130,raw,RandomForest,0.818600,0.686400,0.582563
42,130,raw,MLP,0.870400,0.736300,0.694653
42,130,raw,Transformer,0.844100,0.691100,0.738734
42,130,log1p,DecisionTree,0.728500,0.623600,0.582691
42,130,log1p,RandomForest,0.819100,0.688900,0.590710
42,130,log1p,MLP,0.870500,0.737000,0.689123
42,130,log1p,Transformer,0.843400,0.701400,0.731967
42,130,zscore,DecisionTree,0.731200,0.630900,0.599026
42,130,zscore,RandomForest,0.819600,0.686600,0.584763
42,130,zscore,MLP,0.874100,0.739800,0.703761
42,130,zscore,Transformer,0.843300,0.704800,0.723308
42,140,raw,DecisionTree,0.741200,0.637200,0.581780
42,140,raw,RandomForest,0.819800,0.693700,0.585940
42,140,raw,MLP,0.876800,0.743000,0.697514
42,140,raw,Transformer,0.850500,0.709200,0.733817
42,140,log1p,DecisionTree,0.733700,0.623500,0.598131
42,140,log1p,RandomForest,0.821500,0.691100,0.598939
42,140,log1p,MLP,0.881100,0.748400,0.698902
42,140,log1p,Transformer,0.840300,0.700900,0.755663
42,140,zscore,DecisionTree,0.735000,0.632600,0.593151
42,140,zscore,RandomForest,0.818900,0.692200,0.591208
42,140,zscore,MLP,0.860800,0.732600,0.700758
42,140,zscore,Transformer,0.846600,0.702700,0.740852
42,150,raw,DecisionTree,0.747800,0.639800,0.586021
42,150,raw,RandomForest,0.825700,0.701400,0.591704
42,150,raw,MLP,0.892600,0.758300,0.699336
42,150,raw,Transformer,0.856700,0.700400,0.725727
42,150,log1p,DecisionTree,0.740000,0.637200,0.584435
42,150,log1p,RandomForest,0.828400,0.704500,0.599441
42,150,log1p,MLP,0.893000,0.754200,0.706599
42,150,log1p,Transformer,0.852600,0.716600,0.742613
42,150,zscore,DecisionTree,0.740400,0.639400,0.587463
42,150,zscore,RandomForest,0.824100,0.700000,0.593390
42,150,zscore,MLP,0.883300,0.754000,0.707713
42,150,zscore,Transformer,0.854500,0.709800,0.717861
42,200,raw,DecisionTree,0.745900,0.648700,0.579101
42,200,raw,RandomForest,0.846000,0.731200,0.599890
42,200,raw,MLP,0.904200,0.784200,0.713444
42,200,raw,Transformer,0.870500,0.742900,0.699200
42,200,log1p,DecisionTree,0.751900,0.651400,0.572855
42,200,log1p,RandomForest,0.847200,0.734100,0.612133
42,200,log1p,MLP,0.908300,0.786300,0.721522
42,200,log1p,Transformer,0.877300,0.744700,0.741250
42,200,zscore,DecisionTree,0.743200,0.654300,0.564636
42,200,zscore,RandomForest,0.839100,0.727700,0.602833
42,200,zscore,MLP,0.899100,0.787900,0.703474
42,200,zscore,Transformer,0.874300,0.744200,0.746507
42,300,raw,DecisionTree,0.759000,0.661900,0.555534
42,300,raw,RandomForest,0.860600,0.753500,0.612022
42,300,raw,MLP,0.933600,0.831100,0.738792
42,300,raw,Transformer,0.915300,0.795200,0.757874
42,300,log1p,DecisionTree,0.767800,0.669200,0.548188
42,300,log1p,RandomForest,0.862400,0.754800,0.621339
42,300,log1p,MLP,0.926800,0.805700,0.739696
42,300,log1p,Transformer,0.911400,0.793100,0.736327
42,300,zscore,DecisionTree,0.764900,0.671400,0.555922
42,300,zscore,RandomForest,0.859700,0.753300,0.612715
42,300,zscore,MLP,0.915500,0.808700,0.725102
42,300,zscore,Transformer,0.909600,0.790700,0.756632
42,400,raw,DecisionTree,0.776300,0.682400,0.564360
42,400,raw,RandomForest,0.872000,0.772100,0.619067
42,400,raw,MLP,0.936500,0.837900,0.727538
42,400,raw,Transformer,0.933200,0.819300,0.745654
42,400,log1p,DecisionTree,0.776000,0.687000,0.538516
42,400,log1p,RandomForest,0.871500,0.771800,0.628055
42,400,log1p,MLP,0.937200,0.831100,0.742836
42,400,log1p,Transformer,0.926800,0.821500,0.723695
42,400,zscore,DecisionTree,0.767200,0.687100,0.548415
42,400,zscore,RandomForest,0.873200,0.768200,0.621365
42,400,zscore,MLP,0.930800,0.824800,0.727927
42,400,zscore,Transformer,0.923400,0.812400,0.754688
42,500,raw,DecisionTree,0.790900,0.708000,0.530295
42,500,raw,RandomForest,0.872000,0.780300,0.619219
42,500,raw,MLP,0.944600,0.843500,0.736437
42,500,raw,Transformer,0.937100,0.831100,0.723313
42,500,log1p,DecisionTree,0.778000,0.697600,0.523131
42,500,log1p,RandomForest,0.874100,0.775100,0.632031
42,500,log1p,MLP,0.947300,0.848700,0.743386
42,500,log1p,Transformer,0.939700,0.838500,0.715767
42,500,zscore,DecisionTree,0.785700,0.704700,0.535911
42,500,zscore,RandomForest,0.874000,0.774600,0.625078
42,500,zscore,MLP,0.933200,0.821200,0.735175
42,500,zscore,Transformer,0.930700,0.826600,0.774647
42,600,raw,DecisionTree,0.793300,0.707000,0.533543
42,600,raw,RandomForest,0.881200,0.790200,0.624491
42,600,raw,MLP,0.943700,0.846800,0.762018
42,600,raw,Transformer,0.947900,0.857500,0.726920
42,600,log1p,DecisionTree,0.795500,0.705500,0.510740
42,600,log1p,RandomForest,0.877500,0.784700,0.631853
42,600,log1p,MLP,0.954400,0.863400,0.745530
42,600,log1p,Transformer,0.941100,0.841300,0.697060
42,600,zscore,DecisionTree,0.778000,0.700000,0.530038
42,600,zscore,RandomForest,0.878000,0.784000,0.626587
42,600,zscore,MLP,0.938000,0.841000,0.750895
42,600,zscore,Transformer,0.941400,0.845500,0.741786
43,10,raw,DecisionTree,0.580500,0.530000,0.521305
43,10,raw,RandomForest,0.581700,0.530000,0.522916
43,10,raw,MLP,0.574900,0.533300,0.552043
43,10,raw,Transformer,0.577300,0.527900,0.492772
43,10,log1p,DecisionTree,0.580800,0.530000,0.521174
43,10,log1p,RandomForest,0.581400,0.530000,0.522142
43,10,log1p,MLP,0.573900,0.536500,0.586078
43,10,log1p,Transformer,0.584400,0.534300,0.527858
