P,norm,model,id_acc_mean,id_acc_std,ood_acc_mean,ood_acc_std,ood_auroc_mean,ood_auroc_std,n
50,zscore,Baseline_CosThresh,0.681260,0.000688,0.551140,0.011632,0.536968,0.046436,5
50,zscore,Baseline_L1Thresh,0.616220,0.007115,0.518140,0.005610,0.904645,0.013521,5
50,zscore,Baseline_L2Thresh,0.613680,0.005872,0.522620,0.005713,0.905642,0.023521,5
50,zscore,Baseline_LogReg,0.690840,0.006805,0.561380,0.004703,0.618527,0.003547,5
60,log1p,Baseline_CosThresh,0.699740,0.004630,0.588860,0.013030,0.513672,0.009072,5
60,log1p,Baseline_L1Thresh,0.632440,0.005422,0.517900,0.001701,0.862277,0.025115,5
60,log1p,Baseline_L2Thresh,0.634680,0.005971,0.517760,0.001613,0.748631,0.049545,5
60,log1p,Baseline_LogReg,0.701820,0.006399,0.579860,0.004537,0.617492,0.016479,5
60,raw,Baseline_CosThresh,0.699480,0.004613,0.602280,0.011944,0.496980,0.005153,5
60,raw,Baseline_L1Thresh,0.632820,0.005562,0.517680,0.001636,0.910302,0.013625,5
60,raw,Baseline_L2Thresh,0.633220,0.005277,0.521300,0.002024,0.861537,0.037915,5
60,raw,Baseline_LogReg,0.701800,0.005644,0.578120,0.005000,0.625789,0.010050,5
60,zscore,Baseline_CosThresh,0.698540,0.002800,0.558160,0.019420,0.484570,0.105176,5
60,zscore,Baseline_L1Thresh,0.625020,0.008424,0.520780,0.007950,0.915212,0.010725,5
60,zscore,Baseline_L2Thresh,0.624320,0.007500,0.518040,0.006385,0.897738,0.038645,5
60,zscore,Baseline_LogReg,0.709900,0.003912,0.576300,0.005311,0.622581,0.004977,5
70,log1p,Baseline_CosThresh,0.714060,0.002946,0.610980,0.013182,0.482849,0.008347,5
70,log1p,Baseline_L1Thresh,0.644000,0.005837,0.512360,0.003329,0.875320,0.024452,5
70,log1p,Baseline_L2Thresh,0.641740,0.005103,0.508580,0.001657,0.709740,0.075293,5
70,log1p,Baseline_LogReg,0.722280,0.003807,0.598780,0.014135,0.641217,0.018072,5
70,raw,Baseline_CosThresh,0.715280,0.003517,0.631580,0.003109,0.475168,0.015085,5
70,raw,Baseline_L1Thresh,0.640160,0.003311,0.510280,0.003490,0.913654,0.013975,5
70,raw,Baseline_L2Thresh,0.639580,0.004227,0.512100,0.001930,0.860289,0.049285,5
