seed,P,norm,model,id_acc,ood_acc,ood_auroc
42,70,zscore,Baseline_L2Thresh,0.641700,0.515400,0.926900
42,70,zscore,Baseline_CosThresh,0.712700,0.571200,0.589500
42,70,zscore,Baseline_LogReg,0.718500,0.597900,0.628003
42,80,raw,Baseline_L1Thresh,0.644000,0.512900,0.932266
42,80,raw,Baseline_L2Thresh,0.649600,0.515900,0.888572
42,80,raw,Baseline_CosThresh,0.726000,0.641000,0.440756
42,80,raw,Baseline_LogReg,0.742200,0.619600,0.654512
42,80,log1p,Baseline_L1Thresh,0.645800,0.512900,0.916875
42,80,log1p,Baseline_L2Thresh,0.648900,0.513100,0.770837
42,80,log1p,Baseline_CosThresh,0.725300,0.640900,0.449520
42,80,log1p,Baseline_LogReg,0.740700,0.619200,0.638011
42,80,zscore,Baseline_L1Thresh,0.649200,0.518100,0.932704
42,80,zscore,Baseline_L2Thresh,0.648600,0.513000,0.924358
42,80,zscore,Baseline_CosThresh,0.723000,0.563900,0.523271
42,80,zscore,Baseline_LogReg,0.739200,0.610700,0.648149
42,90,raw,Baseline_L1Thresh,0.654400,0.518900,0.931651
42,90,raw,Baseline_L2Thresh,0.656400,0.515900,0.893151
42,90,raw,Baseline_CosThresh,0.738900,0.652700,0.432884
42,90,raw,Baseline_LogReg,0.743000,0.621300,0.652797
42,90,log1p,Baseline_L1Thresh,0.657100,0.517800,0.914678
42,90,log1p,Baseline_L2Thresh,0.660100,0.519000,0.729742
42,90,log1p,Baseline_CosThresh,0.737900,0.652800,0.428335
42,90,log1p,Baseline_LogReg,0.738300,0.624800,0.626790
42,90,zscore,Baseline_L1Thresh,0.659500,0.515400,0.930900
42,90,zscore,Baseline_L2Thresh,0.655900,0.513900,0.916220
42,90,zscore,Baseline_CosThresh,0.733500,0.556000,0.517628
42,90,zscore,Baseline_LogReg,0.749300,0.611700,0.635997
42,100,raw,Baseline_L1Thresh,0.662900,0.518900,0.935208
42,100,raw,Baseline_L2Thresh,0.657600,0.519900,0.880571
42,100,raw,Baseline_CosThresh,0.754700,0.667100,0.401132
42,100,raw,Baseline_LogReg,0.764700,0.639100,0.645388
42,100,log1p,Baseline_L1Thresh,0.663400,0.518800,0.923151
42,100,log1p,Baseline_L2Thresh,0.666900,0.520500,0.717701
42,100,log1p,Baseline_CosThresh,0.753800,0.667100,0.415441
42,100,log1p,Baseline_LogReg,0.760900,0.638700,0.636700
42,100,zscore,Baseline_L1Thresh,0.664100,0.516000,0.934692
42,100,zscore,Baseline_L2Thresh,0.656900,0.511200,0.911656
42,100,zscore,Baseline_CosThresh,0.751300,0.580700,0.460676
42,100,zscore,Baseline_LogReg,0.765000,0.616500,0.641422
42,110,raw,Baseline_L1Thresh,0.670400,0.514900,0.933489
42,110,raw,Baseline_L2Thresh,0.668900,0.522000,0.913468
42,110,raw,Baseline_CosThresh,0.759600,0.672700,0.426380
42,110,raw,Baseline_LogReg,0.776600,0.652800,0.642443
42,110,log1p,Baseline_L1Thresh,0.671800,0.514100,0.920627
42,110,log1p,Baseline_L2Thresh,0.675200,0.517100,0.676767
42,110,log1p,Baseline_CosThresh,0.758500,0.672600,0.398829
42,110,log1p,Baseline_LogReg,0.774200,0.650400,0.618722
42,110,zscore,Baseline_L1Thresh,0.669600,0.515200,0.933204
42,110,zscore,Baseline_L2Thresh,0.662800,0.519700,0.925642
42,110,zscore,Baseline_CosThresh,0.756300,0.588200,0.433525
42,110,zscore,Baseline_LogReg,0.776100,0.622300,0.636299
42,120,raw,Baseline_L1Thresh,0.676900,0.520000,0.930522
42,120,raw,Baseline_L2Thresh,0.673700,0.521700,0.913903
42,120,raw,Baseline_CosThresh,0.766800,0.685700,0.413159
42,120,raw,Baseline_LogReg,0.790900,0.666300,0.635237
42,120,log1p,Baseline_L1Thresh,0.677400,0.518500,0.915315
42,120,log1p,Baseline_L2Thresh,0.682200,0.520200,0.593310
42,120,log1p,Baseline_CosThresh,0.765700,0.685400,0.379554
42,120,log1p,Baseline_LogReg,0.788600,0.650000,0.625478
42,120,zscore,Baseline_L1Thresh,0.673000,0.515100,0.933587
42,120,zscore,Baseline_L2Thresh,0.665900,0.511800,0.925077
42,120,zscore,Baseline_CosThresh,0.763900,0.619300,0.381358
42,120,zscore,Baseline_LogReg,0.785100,0.629800,0.641767
42,130,raw,Baseline_L1Thresh,0.675000,0.516200,0.934708
42,130,raw,Baseline_L2Thresh,0.672400,0.525300,0.907545
42,130,raw,Baseline_CosThresh,0.775300,0.699100,0.406935
42,130,raw,Baseline_LogReg,0.802200,0.680600,0.630290
42,130,log1p,Baseline_L1Thresh,0.676000,0.518200,0.920187
42,130,log1p,Baseline_L2Thresh,0.680800,0.516200,0.612436
42,130,log1p,Baseline_CosThresh,0.774700,0.699100,0.381073
42,130,log1p,Baseline_LogReg,0.799300,0.667700,0.613076
42,130,zscore,Baseline_L1Thresh,0.676500,0.516700,0.933191
42,130,zscore,Baseline_L2Thresh,0.669300,0.512400,0.935725
42,130,zscore,Baseline_CosThresh,0.773400,0.602200,0.377417
42,130,zscore,Baseline_LogReg,0.797300,0.639400,0.644771
42,140,raw,Baseline_L1Thresh,0.683500,0.512900,0.933084
42,140,raw,Baseline_L2Thresh,0.681900,0.522600,0.911652
42,140,raw,Baseline_CosThresh,0.777600,0.705300,0.403204
42,140,raw,Baseline_LogReg,0.809800,0.689400,0.630147
42,140,log1p,Baseline_L1Thresh,0.684300,0.516300,0.916851
42,140,log1p,Baseline_L2Thresh,0.691500,0.513600,0.533366
42,140,log1p,Baseline_CosThresh,0.776900,0.705400,0.363837
42,140,log1p,Baseline_LogReg,0.805000,0.679400,0.613587
42,140,zscore,Baseline_L1Thresh,0.684400,0.512800,0.929606
42,140,zscore,Baseline_L2Thresh,0.668700,0.511100,0.934760
42,140,zscore,Baseline_CosThresh,0.776100,0.674400,0.346135
42,140,zscore,Baseline_LogReg,0.801700,0.649200,0.648299
42,150,raw,Baseline_L1Thresh,0.689900,0.516900,0.927180
42,150,raw,Baseline_L2Thresh,0.683500,0.519900,0.919187
42,150,raw,Baseline_CosThresh,0.781500,0.713400,0.410469
42,150,raw,Baseline_LogReg,0.812000,0.696500,0.634476
42,150,log1p,Baseline_L1Thresh,0.691900,0.515800,0.907378
42,150,log1p,Baseline_L2Thresh,0.697000,0.517000,0.502276
42,150,log1p,Baseline_CosThresh,0.780800,0.713500,0.364260
42,150,log1p,Baseline_LogReg,0.808100,0.690700,0.619238
42,150,zscore,Baseline_L1Thresh,0.686200,0.507600,0.931623
